group,model,feature_set,fold,best_inner_auc,best_params
adults,LR,full,0,0.8261594614034761,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,1,0.7558795443694155,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,2,0.7678919722082705,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,3,0.7547331045259221,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,4,0.7845757296724147,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,5,0.7709286697546366,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,6,0.7785774798320838,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,7,0.7843619978173385,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,8,0.7786253418159496,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,9,0.7653555583458899,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,10,0.7725722929106906,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,11,0.7879038233780408,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,12,0.738370313013499,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,13,0.7757966404375244,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,14,0.7947674256375915,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,15,0.7646632841614425,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,16,0.7690732524756466,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,17,0.7778945842711957,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,18,0.7850431106646577,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,19,0.7773435320051343,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,20,0.784315298472757,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,21,0.7726752639966268,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,22,0.7913808899306137,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,23,0.7606503571627882,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,24,0.775875118589207,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,25,0.7762681681765476,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,26,0.7905623531199036,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,27,0.8006616967712733,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,28,0.8054927730342095,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,29,0.7492274261956583,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,30,0.72626847821369,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,31,0.764967973163185,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,32,0.8079874093916452,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,33,0.763414532060941,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,34,0.8089423237903901,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,35,0.8137429776587236,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,36,0.788907452362793,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,37,0.7714475169125262,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
adults,LR,full,38,0.7967973938277807,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
