group,model,feature,selection_frequency,n_folds,mean_pairwise_jaccard
adults,LR,CSES_TS,1.0,50,0.5936468293611151
adults,LR,HEI_TS,1.0,50,0.5936468293611151
adults,LR,SCL-90 PSY,1.0,50,0.5936468293611151
adults,LR,SSRS_TS,1.0,50,0.5936468293611151
adults,LR,DES-Ⅱ_TS,0.92,50,0.5936468293611151
adults,LR,SCL-90 IS,0.88,50,0.5936468293611151
adults,LR,SCL-90 ADD,0.7,50,0.5936468293611151
adults,LR,SCL-90 DEP,0.6,50,0.5936468293611151
adults,LR,SCL-90 ANX,0.5,50,0.5936468293611151
adults,LR,SSRS_OS,0.5,50,0.5936468293611151
adults,LR,SSRS_SS,0.48,50,0.5936468293611151
adults,LR,DES-Ⅱ_AMN,0.32,50,0.5936468293611151
adults,LR,SCL-90 OC,0.22,50,0.5936468293611151
adults,LR,EMBU-F EW,0.14,50,0.5936468293611151
adults,LR,EMBU-F REJ,0.12,50,0.5936468293611151
adults,LR,SCL-90 GSI,0.1,50,0.5936468293611151
adults,LR,SSRS_SU,0.1,50,0.5936468293611151
adults,LR,CSQ_RAT,0.08,50,0.5936468293611151
adults,LR,DES-Ⅱ_ABS,0.08,50,0.5936468293611151
adults,LR,SCL-90 HOS,0.06,50,0.5936468293611151
adults,LR,EMBU-F PUN,0.04,50,0.5936468293611151
adults,LR,EMBU-M OI,0.04,50,0.5936468293611151
adults,LR,SCL-90 PAR,0.04,50,0.5936468293611151
adults,LR,SCL-90 PSDI,0.04,50,0.5936468293611151
adults,LR,SCL-90 PHOB,0.02,50,0.5936468293611151
adults,LR,SCL-90 TS,0.02,50,0.5936468293611151
adults,RF,CSES_TS,1.0,50,0.5936468293611151
adults,RF,HEI_TS,1.0,50,0.5936468293611151
adults,RF,SCL-90 PSY,1.0,50,0.5936468293611151
adults,RF,SSRS_TS,1.0,50,0.5936468293611151
adults,RF,DES-Ⅱ_TS,0.92,50,0.5936468293611151
adults,RF,SCL-90 IS,0.88,50,0.5936468293611151
adults,RF,SCL-90 ADD,0.7,50,0.5936468293611151
