group,feature,n_participants,mean_signed_interval,mean_abs_interval,mean_logratio,withdrawal_direction_consistency,top10_frequency,logratio_auroc,logratio_pr_auc,abs_interval_auroc
adults,CSES_TS,800,0.3569928380786767,0.4737163268594932,-5.428144684149613,0.14875,0.284375,0.7909775617776489,0.5165100624709328,0.39473620581266017
adults,CSQ_FAN,800,-0.28881818070737664,0.48981289056627103,-0.7002965839490876,0.445,0.286875,0.6302589583635572,0.2303317764884908,0.4383976497896417
adults,CSQ_HS,800,0.3605401077089065,0.567019446458847,-0.7569660812512499,0.23375,0.401875,0.6903984718796847,0.2997404412420368,0.4736084917065622
adults,CSQ_PS,800,0.30614672353552114,0.48170646806916706,-0.799381936630446,0.20875,0.254375,0.6581858407079646,0.3112309568555246,0.48867812756903134
adults,CSQ_RAT,800,-0.09000915720160807,0.4451798233402123,-0.19501258953181952,0.3925,0.21125,0.5511811499588954,0.18405901309917305,0.5045638086948111
adults,CSQ_REP,800,-0.33743637707150126,0.5528007901030957,-2.513059820983255,0.40125,0.361875,0.6436058320034819,0.22699999677586086,0.40897770685236234
adults,CSQ_SB,800,-0.40254098444910613,0.605668583169065,-3.6588040774751414,0.3225,0.473125,0.6675673388461724,0.2523494605629519,0.35965834904976063
adults,DES-Ⅱ_ABS,800,-0.4453272780456097,0.5935661983924523,-1.9547849275773705,0.155,0.45625,0.6807026451956091,0.3351031812716982,0.44085787513902996
adults,DES-Ⅱ_AMN,800,-0.4126794962014854,0.5744528321360056,-1.1793283582357903,0.22375,0.38125,0.6946600415880846,0.29626442133482384,0.41391629189032353
adults,DES-Ⅱ_DPDR,800,-0.5029806265649562,0.6641193082745754,-1.5285729317723535,0.19,0.5825,0.7052686300111224,0.33438765458782793,0.42932443541757337
adults,DES-Ⅱ_TS,800,-0.5272561009996717,0.6806570374674488,-2.1552577100952686,0.15375,0.626875,0.7066105711107888,0.35172338758682875,0.4001281493302383
adults,EMBU-F EW,800,0.2028612185413232,0.4584555048174397,-0.44339350643617437,0.37375,0.223125,0.6107645437400261,0.21421789630251034,0.46666908457855794
adults,EMBU-F FS,800,-0.09185692396591602,0.3833479950468525,-0.3707501475548196,0.215,0.08125,0.48914962038783316,0.15723352282810438,0.4816057352870061
adults,EMBU-F OI,800,-0.15159745459544294,0.4345673853974603,-0.29883701324608164,0.265,0.154375,0.6091868562309589,0.22048204255863618,0.5221541177039508
adults,EMBU-F OP,800,-0.31638293038861115,0.5090692820023626,-0.8059955001612034,0.275,0.318125,0.5932407273078969,0.21251896257045544,0.48606678272643744
adults,EMBU-F PUN,800,-0.10716364850911247,0.4071806705298088,-0.4530577016301231,0.3025,0.0675,0.5396416654577108,0.18181494135452755,0.5346728565211083
adults,EMBU-F REJ,800,-0.22763154572861846,0.43228562564341244,-0.5136065934681722,0.295,0.140625,0.609742975965956,0.22648891207108537,0.5034636587842739
adults,EMBU-M EW,800,0.3508341183853514,0.5128622413685444,-0.8443128958719646,0.40875,0.34625,0.6431464287441365,0.23051257966487068,0.40584046617341263
adults,EMBU-M FS,800,-0.03449881634428681,0.4283243343188808,-0.3337906179945523,0.28625,0.115625,0.45046907490691046,0.14627739017500097,0.5073988103873495
adults,EMBU-M OI,800,-0.15898667277558143,0.42990320233087337,-0.5959906179948966,0.27375,0.16375,0.5788360172155327,0.19210836372903892,0.5250012089559456
adults,EMBU-M PUN,800,-0.16128294317980924,0.340440584028923,-0.5320038203193969,0.2625,0.0475,0.5696419072488997,0.20341610161742277,0.4884242468204459
adults,EMBU-M REJ,800,-0.17133727737227847,0.42808328515009836,-0.6331701667653707,0.30625,0.116875,0.5837141544562117,0.21245926410093657,0.4860788722858939
adults,HEI_TS,800,-0.3652012296358555,0.4003850920913028,-10.120266196252114,0.075,0.02125,0.7699235939842353,0.5595491540983323,0.25593597369311866
adults,SCL-90 ADD,800,-0.3150636072463516,0.3488425972576997,-9.441455997246482,0.0825,0.008125,0.7484464916098457,0.5189530508047643,0.2928272643744862
adults,SCL-90 ANX,800,-0.2796662501753313,0.345545501682073,-3.6772159640103554,0.12625,0.165625,0.738430291600174,0.5056426382813997,0.46914139948740263
adults,SCL-90 DEP,800,-0.3169233479065447,0.3545521218214132,-8.834833944564886,0.0675,0.005,0.7439552202717733,0.5280905240424142,0.31126384254557765
adults,SCL-90 GSI,800,-0.24274437539651142,0.2799123474701563,-6.919463079536602,0.105,0.000625,0.7631715750278061,0.5251360443600217,0.373186566081532
adults,SCL-90 HOS,800,-0.39594592080797797,0.5021301528409168,-3.535605474836346,0.13875,0.356875,0.7326696165191742,0.4528296646040928,0.43029160017408963
adults,SCL-90 IS,800,-0.49291946669933273,0.6314776434814418,-3.6505537703672903,0.1575,0.565625,0.7419967116398278,0.45216743302459916,0.39324314521978815
adults,SCL-90 NST,800,0.4184151912921368,0.487857142982859,-8.26029549791551,0.15125,0.205625,0.7543643309637798,0.43769089499142133,0.3100972000580299
adults,SCL-90 OC,800,-0.28918975636930816,0.3378507976199491,-6.0975224634084455,0.12375,0.0775,0.7514749262536873,0.465682964367448,0.38232627303061084
adults,SCL-90 PAR,800,-0.27975432096434155,0.3495569633225729,-4.101683996023105,0.13125,0.13125,0.7465786546738237,0.478382284396338,0.45257870303206144
adults,SCL-90 PHOB,800,-0.4729520297070694,0.6195611965410166,-2.746278442116556,0.11125,0.513125,0.7152425165626964,0.40251017055124794,0.4218591324532134
adults,SCL-90 PSDI,800,-0.22191097646337318,0.25766488839382257,-7.055750682065513,0.0975,0.05125,0.7397057401228299,0.48669089514115077,0.3946636684559215
adults,SCL-90 PST,800,-0.41841519129213667,0.48785714298285865,-8.26029549791551,0.15125,0.19875,0.7543643309637798,0.43769089499142133,0.3100972000580299
adults,SCL-90 PSY,800,-0.1774745659808849,0.2223170614617363,-3.7653191020518846,0.13875,0.005,0.7549808984960588,0.5345092952705701,0.43251003433434887
adults,SCL-90 SOM,800,-0.3020164662150823,0.37159670466011574,-3.192068928193365,0.125,0.201875,0.7388352918419652,0.4270429355678327,0.44515571352579913
adults,SCL-90 TS,800,-0.24274437539651142,0.2799123474701563,-6.919462453906867,0.105,0.000625,0.7631715750278061,0.5251360443600217,0.373186566081532
adults,SSRS_OS,800,0.31479620129004604,0.5189928446345548,-2.011200265713454,0.36375,0.29,0.6650708448184148,0.2511324589021379,0.4234065960636394
adults,SSRS_SS,800,0.37051741226589313,0.5487478679485425,-3.385124310740323,0.375,0.371875,0.6762899559940037,0.25890792070120794,0.40992673726969386
adults,SSRS_SU,800,0.3145451110091236,0.5133600790761621,-1.3716456016479655,0.435,0.32,0.6847103341554234,0.285354934066814,0.41565718845205274
adults,SSRS_TS,800,0.4021313599150696,0.5744406503365511,-3.612677795003581,0.2975,0.414375,0.6925322791237488,0.2848838608477445,0.38909642632622465
children,A-DES-Ⅱ_AII,180,-0.22693203297797127,0.6419964230383405,-1.8919239252703581,0.4,0.6333333333333333,0.7203907203907205,0.56754476642914,0.440442273775607
children,A-DES-Ⅱ_DA,180,-0.09738868382895245,0.3401879046067862,-0.5582252421286458,0.3333333333333333,0.13333333333333333,0.7299552299552299,0.5800176886993208,0.4868403201736535
children,A-DES-Ⅱ_DPDR,180,-0.1354004622593991,0.4977411314036359,0.0087801925819859,0.4,0.39444444444444443,0.7355175688509022,0.5843422970982943,0.4792429792429793
children,A-DES-Ⅱ_PI,180,-0.2708463449065181,0.6325750732952499,-1.67243505589279,0.4222222222222222,0.6194444444444445,0.7346357346357346,0.6430284893134159,0.44851444851444855
children,A-DES-Ⅱ_TS,180,-0.1530187564969524,0.4395644441030383,-0.8095696492643115,0.35555555555555557,0.2916666666666667,0.7357210690544025,0.6035816236091316,0.488739655406322
children,A-SSRS_OS,180,0.13809069427492796,0.4439728028226189,0.35826244703625826,0.40555555555555556,0.3388888888888889,0.754714421381088,0.6058118770460097,0.45977479310812636
children,A-SSRS_SS,180,0.15720198096560245,0.6750854740409905,0.16621841799632692,0.3388888888888889,0.7138888888888889,0.7039750373083706,0.5295466297837035,0.44627594627594624
children,A-SSRS_SU,180,0.05010351553178635,0.5785760789192315,-0.3075795138714862,0.48333333333333334,0.5222222222222223,0.6912223578890245,0.5288313716791169,0.46533713200379867
children,A-SSRS_TS,180,0.11839733525680936,0.47634812151116257,-0.5151798840638703,0.4777777777777778,0.4,0.7420295753629087,0.5996426165676699,0.4281644281644282
