group,model,feature_set,n,withdrawal_n,withdrawal_prevalence,majority_accuracy_baseline,accuracy,balanced_accuracy,withdrawal_sensitivity,withdrawal_specificity,withdrawal_precision,withdrawal_f1,withdrawal_auroc,withdrawal_pr_auc,reentry_brier,calibration_intercept,calibration_slope,calibration_fit_success,calibration_abs_error_mean,calibration_abs_error_max,accuracy_ci95_low,accuracy_ci95_high,withdrawal_sensitivity_ci95_low,withdrawal_sensitivity_ci95_high,withdrawal_specificity_ci95_low,withdrawal_specificity_ci95_high,withdrawal_precision_ci95_low,withdrawal_precision_ci95_high,withdrawal_f1_ci95_low,withdrawal_f1_ci95_high,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,withdrawal_auroc_ci95_low,withdrawal_auroc_ci95_high,withdrawal_pr_auc_ci95_low,withdrawal_pr_auc_ci95_high,reentry_brier_ci95_low,reentry_brier_ci95_high,n_boot
adults,LR,full,800,122,0.1525,0.8475,0.89125,0.6804124957686541,0.3770491803278688,0.9837758112094396,0.8070175438596491,0.5139664804469274,0.7821219594757968,0.5967714159683801,0.0902142889873563,-0.2470120161390934,1.144838061251512,True,0.0402024167506303,0.1104593809770735,0.8677774634913739,0.9109830658776846,0.2960429161053807,0.4655618818591306,0.9711835346298536,0.9909169529741282,0.6865930975223603,0.8886725301994945,0.4228571428571429,0.6024845327254965,0.6387302101102976,0.7252559018238821,0.7290869208167812,0.8366871836647088,0.5077458404503877,0.6761876647342896,0.074661897372432,0.1052976469976641,1000
adults,LR,top10,800,122,0.1525,0.8475,0.89875,0.7083635572319744,0.4344262295081967,0.9823008849557522,0.8153846153846154,0.5668449197860963,0.7979230136853813,0.6156496026299831,0.08744269220699,-0.0981271293459534,1.061716762259432,True,0.0369513800268619,0.0699314369993073,0.8759039959207165,0.9177848503052568,0.3498006331058791,0.5230552591418602,0.9693203680930924,0.9898468863169748,0.7044600616636223,0.8911112801173449,0.4799760479041916,0.6489431324495933,0.6656173261557867,0.7521449094675465,0.7464690193899853,0.8488297449606047,0.5310304222967176,0.7003943935875171,0.0725925969761677,0.1030127726949469,1000
adults,RF,full,800,122,0.1525,0.8475,0.88875,0.682298467043861,0.3852459016393442,0.9793510324483776,0.7704918032786885,0.5136612021857924,0.7775400164418009,0.5716122846476376,0.0908190818781946,-0.13684205017235,1.0851089750000251,True,0.0267239697513233,0.0408442841075363,0.8650758122050848,0.9087086115450024,0.3036499541347414,0.4738478572988024,0.965640106070352,0.987660681951886,0.65086594876416,0.8580676964712871,0.4171651329243354,0.604887676508344,0.6369683461262372,0.7288835360864705,0.7200935835151647,0.8317500622156113,0.4832915940958319,0.6670140127606008,0.0753381951128482,0.106390067092485,1000
adults,RF,top10,800,122,0.1525,0.8475,0.8925,0.6945935490110741,0.4098360655737705,0.9793510324483776,0.78125,0.5376344086021505,0.7970767445234295,0.5979313006661443,0.0875502611245002,-0.1758915808255241,1.1170404652139865,True,0.0242285828808622,0.0525681471251937,0.8691296036554871,0.9121189785230572,0.3266177539040643,0.4985590979365774,0.965640106070352,0.987660681951886,0.6656721604337418,0.8649768059328052,0.4534719175076788,0.6271767185752387,0.6543831031898951,0.7405240410969142,0.744502044625392,0.8501949374321045,0.5101472758464822,0.6949120387231872,0.0719513596574463,0.1025498679068113,1000
adults,SVM,full,800,122,0.1525,0.8475,0.87875,0.6528724793268533,0.3278688524590163,0.9778761061946902,0.7272727272727273,0.4519774011299435,0.7713985202379225,0.5256890211596694,0.0962105631170317,-0.2261633187055907,1.1474120864294457,True,0.0377756491661269,0.1440185453286864,0.8543024678560217,0.8995775334181789,0.2509364358669483,0.4153102812833675,0.963819981579712,0.9865475732486112,0.5976780188832919,0.8271924806089416,0.3529411764705882,0.5434051497635312,0.6095200619043908,0.6970725609936514,0.7184589301412894,0.8251957058219925,0.4340677356596358,0.6287028209723072,0.0818274737202826,0.1115194831485499,1000
adults,SVM,top10,800,122,0.1525,0.8475,0.895,0.7095120653803375,0.4426229508196721,0.976401179941003,0.7714285714285715,0.5625,0.7920112191111756,0.5707363221435203,0.0893464425131198,-0.2940588444905379,1.2005985010510545,True,0.0332305023585391,0.0992561988786027,0.8718365798235254,0.9143881079739908,0.3575751651998452,0.5311737405169267,0.9620115682719907,0.985422753362418,0.6604966840601509,0.8541193677742756,0.4761776061776061,0.6396773567826199,0.6658465484208423,0.7513039192652108,0.7330148489279655,0.8469463708288858,0.4826400946574787,0.6666496331091445,0.0756270839634835,0.1051670783967263,1000
children,LR,full,180,63,0.35,0.65,0.7111111111111111,0.6385836385836385,0.3968253968253968,0.8803418803418803,0.6410256410256411,0.4901960784313725,0.7822547822547822,0.614195533411018,0.184420933165037,-0.2694043525675536,1.533453949144551,True,0.0949309128254053,0.2182697465900187,0.6410335213896696,0.7723661572656493,0.2853191151904645,0.5201908148834254,0.8091336915104884,0.9273685062332443,0.4841814855954854,0.7725791454100714,0.3505025773195876,0.6071428571428571,0.5700320512820513,0.7067349137931034,0.7120937386404944,0.8425941295043246,0.4863050932872731,0.7521253212874629,0.1633542536071741,0.20697702294951875,1000
children,LR,top10,180,63,0.35,0.65,0.6944444444444444,0.6294261294261294,0.4126984126984127,0.8461538461538461,0.5909090909090909,0.4859813084112149,0.78998778998779,0.6273700738515495,0.1807090403542309,-0.1745031264991915,1.458107587915193,True,0.1023065893243114,0.1857353571003229,0.6236704711467251,0.7570923907726474,0.29958465626751724,0.5358468230257742,0.7698863158750182,0.9004134371277048,0.444097537410319,0.7231214437245027,0.36140963855421687,0.5932203389830508,0.5583078917050691,0.6958418062200956,0.7197089947089946,0.8542972459639127,0.5110116567844657,0.7553188201388007,0.15900050454297518,0.20413722322686575,1000
children,RF,full,180,63,0.35,0.65,0.6944444444444444,0.6294261294261294,0.4126984126984127,0.8461538461538461,0.5909090909090909,0.4859813084112149,0.7377560710894044,0.5439355084494155,0.1929800497372225,-0.115948499066979,1.2872956395003752,True,0.0582523834825444,0.1401163594543271,0.6236704711467251,0.7570923907726474,0.29958465626751724,0.5358468230257742,0.7698863158750182,0.9004134371277048,0.444097537410319,0.7231214437245027,0.36534090909090905,0.5882913165266106,0.5646323127392018,0.6916830689385037,0.6596083413078151,0.8097982017405962,0.4380497990553703,0.6798026317583666,0.1696421887633179,0.21860753589975676,1000
children,RF,top10,180,63,0.35,0.65,0.6944444444444444,0.6330891330891331,0.4285714285714285,0.8376068376068376,0.5869565217391305,0.4954128440366973,0.7444037444037443,0.5645205980453931,0.1915609606171296,-0.1786253043688727,1.471751637754528,True,0.0665026845913059,0.1649935870288131,0.6236704711467251,0.7570923907726474,0.3139691799436434,0.5513838485690497,0.7602472015785341,0.8935019402389367,0.44339497779846154,0.7171139677518723,0.37382664064907056,0.6055078175474868,0.5606140200496343,0.7035742729270685,0.6652046751342566,0.8230078084885221,0.45500990024384985,0.7045952374742231,0.1691252991096708,0.21545605302899176,1000
children,SVM,full,180,63,0.35,0.65,0.6833333333333333,0.6245421245421245,0.4285714285714285,0.8205128205128205,0.5625,0.4864864864864865,0.7422330755664088,0.5307700062910664,0.1919482591697669,-0.1079700976104827,1.2449154244077905,True,0.0885175007807799,0.1860591054967025,0.6121509596004495,0.7468540244949591,0.3139691799436434,0.5513838485690497,0.741146913021092,0.8795010064258738,0.42275017419827776,0.6929873095934576,0.3687996469549868,0.5893361801242236,0.5553517664314603,0.6908495883818644,0.6658282530029089,0.8086451295594782,0.43295454678165246,0.6685810645447131,0.1678986034330195,0.2173009483379234,1000
children,SVM,top10,180,63,0.35,0.65,0.6555555555555556,0.5958485958485958,0.3968253968253968,0.7948717948717948,0.5102040816326531,0.4464285714285714,0.7502374169040836,0.535715270458705,0.1901442208146827,-0.1504651027041933,1.4248027445674096,True,0.0756181156797458,0.2144675831601956,0.5835387271294007,0.7210715624060974,0.2853191151904645,0.5201908148834254,0.7128955389550506,0.8581005469361578,0.37467563740468035,0.6442488968969421,0.3207145724608591,0.5511811023622047,0.525482462126593,0.6690974078925145,0.679756186627947,0.8168753797942737,0.4318756196177363,0.6693838953615141,0.16689404232604216,0.21329074193240558,1000
