group,model,feature_set,fold,best_inner_auc,best_params
children,LR,full,0,0.7634408602150536,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,1,0.7956989247311829,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,2,0.8055485551075269,"{""clf__C"": 10.0, ""clf__class_weight"": ""balanced""}"
children,LR,full,3,0.7979188903383934,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,4,0.7592615927419355,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,5,0.8064516129032259,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,6,0.7830487033523085,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,7,0.7641919671094244,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,8,0.813784788108792,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,9,0.7701254645003163,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,10,0.7381404174573055,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,11,0.7710309930423782,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,12,0.8038363278779254,"{""clf__C"": 1.0, ""clf__class_weight"": null}"
children,LR,full,13,0.7609738199715369,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,14,0.8066603909709045,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,15,0.7944339025932955,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,16,0.7849462365591399,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,17,0.7081467919829221,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,18,0.8068086357526884,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,19,0.7488078648798228,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,20,0.7267552182163189,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,21,0.7754585705249841,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,22,0.8198134092346615,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,23,0.7664230510752689,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,24,0.7431127945129665,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,25,0.8070841239721694,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,26,0.7609108159392789,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,27,0.7563609365117014,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,28,0.7734202047754585,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,29,0.7764110432479443,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,30,0.834282099936749,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,31,0.7741935483870969,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,32,0.7723614899588869,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,33,0.7742380218216319,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
children,LR,full,34,0.7019649845825428,"{""clf__C"": 0.1, ""clf__class_weight"": ""balanced""}"
children,LR,full,35,0.7868437697659708,"{""clf__C"": 0.1, ""clf__class_weight"": null}"
